pair,price_change_pct,quote_volume,symbol
EVAA/USDT:USDT,110.18003273322421,872331029.4651202,EVAAUSDT
TAC/USDT:USDT,-93.38049818697776,215281861.41594616,TACUSDT
LAB/USDT:USDT,-76.47937836222354,1707834839.1161015,LABUSDT
EDGE/USDT:USDT,55.58939993908012,215930566.41759998,EDGEUSDT
HMSTR/USDT:USDT,-36.09582389122693,43971686.037857585,HMSTRUSDT
CLO/USDT:USDT,35.170886454779435,64356784.01665996,CLOUSDT
GRASS/USDT:USDT,-31.285337353938935,27906301.09595001,GRASSUSDT
SCRT/USDT:USDT,-29.209112798666425,8891707.51233,SCRTUSDT
SKYAI/USDT:USDT,-26.438933083762272,31848066.128620006,SKYAIUSDT
ESPORTS/USDT:USDT,-25.978312116925984,18758002.146999996,ESPORTSUSDT
JTO/USDT:USDT,-22.161265628986992,43546823.5516,JTOUSDT
ARX/USDT:USDT,-19.67871485943775,40948898.49249999,ARXUSDT
MYX/USDT:USDT,-19.17808219178082,12446274.735379998,MYXUSDT
UB/USDT:USDT,-18.606321839080454,9880906.52167,UBUSDT
SIREN/USDT:USDT,-18.54934601664685,17704622.394379996,SIRENUSDT
UAI/USDT:USDT,18.258164852255042,18065453.533500005,UAIUSDT
BSB/USDT:USDT,-16.644263923791712,15470978.523580007,BSBUSDT
OPG/USDT:USDT,-15.988779803646569,27553769.942199983,OPGUSDT
GUA/USDT:USDT,-15.51155115511551,8369801.57812,GUAUSDT
BILL/USDT:USDT,-15.083025830258311,6956724.892589998,BILLUSDT
CATI/USDT:USDT,-14.846259752179902,5787829.266250004,CATIUSDT
GWEI/USDT:USDT,-14.84375,22248350.69299202,GWEIUSDT
STAR/USDT:USDT,-14.798824728668226,2223785.6678799987,STARUSDT
OPN/USDT:USDT,-14.75360576923076,6140864.479300005,OPNUSDT
BEAT/USDT:USDT,-14.2912924638813,18984170.817800015,BEATUSDT
CAP/USDT:USDT,-13.546160483175152,14200433.372600008,CAPUSDT
BIRB/USDT:USDT,-13.28805551454304,6639348.623239999,BIRBUSDT
POWER/USDT:USDT,13.000938212035917,8865317.865410002,POWERUSDT
ZKP/USDT:USDT,-12.633058847158074,7689024.988029994,ZKPUSDT
XPL/USDT:USDT,-12.333930085743905,40926865.661620006,XPLUSDT
MANTA/USDT:USDT,-12.305740564541711,7070628.218736003,MANTAUSDT
LIT/USDT:USDT,-12.192222136994712,77882442.53454007,LITUSDT
MVLL/USDT:USDT,-12.0,11700458.540700002,MVLLUSDT
AERO/USDT:USDT,-11.923796564041488,18760166.907650013,AEROUSDT
THE/USDT:USDT,-11.74103237095363,3481895.211452002,THEUSDT
MAGMA/USDT:USDT,-11.723017865052421,26959731.943999995,MAGMAUSDT
SYN/USDT:USDT,11.471251409244655,51837957.946019985,SYNUSDT
USELESS/USDT:USDT,-11.158752277843288,9985612.627359996,USELESSUSDT
VELVET/USDT:USDT,-10.832260832260832,43046110.01158002,VELVETUSDT
FLNC/USDT:USDT,-10.80459770114942,7300539.521299997,FLNCUSDT
BLESS/USDT:USDT,-10.584123814278579,3363756.5955559993,BLESSUSDT
BLUAI/USDT:USDT,10.518580726432925,3963276.1385950004,BLUAIUSDT
MMT/USDT:USDT,10.432931156848824,6734211.5116,MMTUSDT
